Employee Name,Department,Position,Leave Type,Start Date,End Date,Days Taken,Total Leave Entitlement,Leave Taken So Far,Remaining Leaves,month
Michael Moore,IT,Software Engineer,Maternity Leave,2023-12-21,2023-12-25,5,21,4,12,Dec
Michael Collier,HR,HR Manager,Sick Leave,2024-12-01,2024-12-06,6,28,5,17,Dec
Ashley Rogers,Finance,Accountant,Maternity Leave,2024-06-08,2024-06-11,4,23,17,2,Jun
Kelly Alexander,Finance,Accountant,Earned Leave,2024-11-03,2024-11-08,6,28,19,3,Nov
Corey Chung,Finance,Financial Analyst,Maternity Leave,2024-03-01,2024-03-06,6,21,6,9,Mar
Daniel Schmidt,Finance,Financial Analyst,Sick Leave,2024-08-28,2024-09-05,9,30,15,6,Aug
Nicole Day,Operations,Operations Manager,Earned Leave,2024-08-01,2024-08-06,6,26,7,13,Aug
Justin Waller,HR,HR Manager,Paternity Leave,2024-09-24,2024-09-30,7,24,8,9,Sep
Gavin Johnson,Finance,Accountant,Maternity Leave,2024-01-25,2024-01-31,7,27,1,19,Jan
Kevin Wall,Marketing,SEO Analyst,Sick Leave,2024-04-22,2024-04-26,5,30,24,1,Apr
Amy Gaines,HR,HR Manager,Sick Leave,2024-03-22,2024-03-27,6,22,6,10,Mar
Sally Chapman,IT,System Administrator,Earned Leave,2024-02-25,2024-03-02,7,24,7,10,Feb
Robert Jones,IT,Software Engineer,Paternity Leave,2024-11-02,2024-11-08,7,28,0,21,Nov
Daniel Gomez,HR,Recruiter,Earned Leave,2024-07-18,2024-07-20,3,24,18,3,Jul
Randy Reyes,IT,System Administrator,Paternity Leave,2023-12-31,2024-01-07,8,22,12,2,Dec
Phillip Alvarez,Finance,Financial Analyst,Casual Leave,2024-04-17,2024-04-20,4,30,9,17,Apr
Kathryn Hobbs,Operations,Operations Manager,Earned Leave,2024-03-25,2024-04-02,9,29,19,1,Mar
Joseph James MD,Marketing,SEO Analyst,Casual Leave,2024-06-20,2024-06-27,8,24,13,3,Jun
Dalton Barber,Operations,Logistics Coordinator,Maternity Leave,2024-09-24,2024-10-01,8,22,13,1,Sep
Holly Parsons,IT,Software Engineer,Earned Leave,2024-09-15,2024-09-22,8,25,16,1,Sep
Elizabeth Cook,Finance,Accountant,Sick Leave,2024-04-18,2024-04-25,8,29,15,6,Apr
Joseph Lawrence,IT,System Administrator,Paternity Leave,2024-09-22,2024-09-28,7,27,0,20,Sep
Joanna Frye,Marketing,Marketing Specialist,Casual Leave,2024-10-18,2024-10-26,9,28,1,18,Oct
Elizabeth Sullivan,HR,HR Manager,Casual Leave,2024-12-04,2024-12-12,9,27,8,10,Dec
Vincent Gonzalez,HR,Recruiter,Earned Leave,2024-08-31,2024-09-09,10,29,12,7,Aug
Danielle George,Operations,Operations Manager,Paternity Leave,2024-03-29,2024-04-03,6,23,5,12,Mar
Kelly Hendrix,HR,HR Manager,Earned Leave,2024-12-06,2024-12-11,6,22,11,5,Dec
Tammy Watson,IT,System Administrator,Maternity Leave,2024-06-07,2024-06-09,3,25,13,9,Jun
Peter Ryan,IT,System Administrator,Casual Leave,2024-07-02,2024-07-10,9,30,7,14,Jul
Sharon Aguilar,Finance,Financial Analyst,Maternity Leave,2024-05-21,2024-05-28,8,20,7,5,May
Deanna Huang,Operations,Logistics Coordinator,Casual Leave,2024-09-12,2024-09-17,6,21,2,13,Sep
Chase Golden,HR,HR Manager,Casual Leave,2024-03-28,2024-04-05,9,26,0,17,Mar
Haley Holmes,Finance,Accountant,Casual Leave,2024-04-23,2024-04-28,6,21,11,4,Apr
Jennifer Campbell,Finance,Accountant,Casual Leave,2024-10-01,2024-10-01,1,22,0,21,Oct
Jennifer Santiago,Operations,Operations Manager,Sick Leave,2024-12-03,2024-12-04,2,25,5,18,Dec
Luke Jackson,HR,Recruiter,Sick Leave,2024-03-21,2024-03-27,7,25,8,10,Mar
Alyssa Adams,Operations,Logistics Coordinator,Sick Leave,2024-03-18,2024-03-18,1,28,7,20,Mar
Brenda Wilson,HR,HR Manager,Earned Leave,2024-09-17,2024-09-23,7,28,17,4,Sep
Kristina Lowe,Finance,Accountant,Sick Leave,2024-12-16,2024-12-25,10,23,7,6,Dec
Sean Shah,Operations,Logistics Coordinator,Sick Leave,2024-06-12,2024-06-19,8,20,5,7,Jun
Joseph Manning,Marketing,SEO Analyst,Sick Leave,2024-09-06,2024-09-11,6,28,9,13,Sep
Joseph Grant,IT,Software Engineer,Paternity Leave,2024-07-10,2024-07-13,4,24,9,11,Jul
Antonio Welch,Marketing,SEO Analyst,Casual Leave,2024-01-05,2024-01-12,8,24,10,6,Jan
Yolanda Holt,Operations,Logistics Coordinator,Casual Leave,2024-03-30,2024-04-04,6,30,19,5,Mar
Anna Acosta,Operations,Operations Manager,Sick Leave,2024-08-01,2024-08-01,1,29,6,22,Aug
Robert Hardy,Finance,Financial Analyst,Casual Leave,2023-12-24,2023-12-31,8,28,17,3,Dec
Crystal Wilson,Marketing,Marketing Specialist,Casual Leave,2024-01-27,2024-02-03,8,20,5,7,Jan
Dawn Carey,Operations,Operations Manager,Sick Leave,2024-01-16,2024-01-17,2,22,12,8,Jan
Caleb Terrell,IT,System Administrator,Earned Leave,2024-01-22,2024-01-29,8,20,7,5,Jan
Cynthia Strickland,HR,Recruiter,Sick Leave,2024-09-24,2024-09-28,5,28,11,12,Sep
Terri Salas,Marketing,SEO Analyst,Casual Leave,2024-06-22,2024-06-24,3,29,0,26,Jun
John Reese,IT,Software Engineer,Sick Leave,2024-08-07,2024-08-11,5,21,3,13,Aug
Scott Johnson,Operations,Logistics Coordinator,Maternity Leave,2024-02-25,2024-03-02,7,22,7,8,Feb
Kevin Orr,Operations,Operations Manager,Casual Leave,2024-02-01,2024-02-10,10,30,7,13,Feb
Julia Rivers,Marketing,Marketing Specialist,Earned Leave,2024-08-20,2024-08-25,6,20,9,5,Aug
Robert Cervantes,Finance,Financial Analyst,Paternity Leave,2024-08-16,2024-08-19,4,24,1,19,Aug
David Strong DVM,Finance,Financial Analyst,Earned Leave,2024-01-21,2024-01-28,8,26,10,8,Jan
Denise Collins,IT,Software Engineer,Maternity Leave,2024-11-16,2024-11-25,10,30,2,18,Nov
Terri Olsen,Finance,Accountant,Paternity Leave,2024-02-26,2024-03-02,6,23,16,1,Feb
Allison Evans,IT,Software Engineer,Casual Leave,2024-06-07,2024-06-10,4,25,10,11,Jun
Adam Solomon,HR,HR Manager,Sick Leave,2024-04-18,2024-04-24,7,27,6,14,Apr
Billy Duran,Finance,Accountant,Paternity Leave,2024-10-14,2024-10-20,7,26,2,17,Oct
Rita Hull,Marketing,Marketing Specialist,Maternity Leave,2024-11-28,2024-11-29,2,23,14,7,Nov
Martin Anderson,IT,System Administrator,Paternity Leave,2024-05-09,2024-05-14,6,28,11,11,May
Jessica Beard,Operations,Logistics Coordinator,Paternity Leave,2024-01-20,2024-01-25,6,25,15,4,Jan
Kenneth Smith,Operations,Operations Manager,Casual Leave,2024-02-04,2024-02-08,5,23,7,11,Feb
Todd Preston,Finance,Financial Analyst,Maternity Leave,2024-06-07,2024-06-15,9,27,17,1,Jun
Lauren Santos,Finance,Financial Analyst,Maternity Leave,2023-12-25,2023-12-31,7,30,12,11,Dec
Rachel Jones,Operations,Logistics Coordinator,Earned Leave,2024-08-27,2024-08-28,2,26,15,9,Aug
Tanya Cameron,HR,Recruiter,Sick Leave,2024-05-10,2024-05-14,5,27,13,9,May
Arthur Smith,Marketing,Marketing Specialist,Maternity Leave,2024-04-02,2024-04-09,8,22,10,4,Apr
Allison Richard,HR,HR Manager,Sick Leave,2024-08-28,2024-08-28,1,24,7,16,Aug
Jessica Chaney,Finance,Financial Analyst,Earned Leave,2024-02-10,2024-02-19,10,26,5,11,Feb
Lisa Richardson,Operations,Logistics Coordinator,Paternity Leave,2024-11-23,2024-12-01,9,30,13,8,Nov
Alexander Hahn,IT,System Administrator,Maternity Leave,2024-07-23,2024-07-30,8,22,14,0,Jul
Kristen Kerr,Marketing,Marketing Specialist,Maternity Leave,2024-04-17,2024-04-26,10,24,6,8,Apr
Kathryn Grant,IT,System Administrator,Paternity Leave,2024-05-21,2024-05-27,7,22,15,0,May
